Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_pasien_dalam_perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawatan,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_Terkini,Kasus_Sedang_Investigasi_Lapangan,Jumlah_Spesimen_Diperiksa_Terkini,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_Terkini,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID,suspek
128,2020/07/07 00:00:00+00,66226,30785,3309,32132,1268,866,68,334,46.4847642919699,4.99652704375925,48.5187086642708,946054,562759,496533,17816,10675,13471,38702,,,,,,,,,,,,1970/01/01 00:00:00+00,128,
129,2020/07/08 00:00:00+00,68079,31585,3359,33135,1853,800,50,1003,46.3946297683573,4.93397376577212,48.6713964658705,968237,581594,507447,22183,12777,13636,38498,,,,,,,,,,,,1970/01/01 00:00:00+00,129,
130,2020/07/09 00:00:00+00,70736,32651,3417,34668,2657,1066,58,1533,46.1589572494911,4.83063786473648,49.0104048857725,992069,588080,517344,23832,12554,13732,38498,,,,,,,,,,,,1970/01/01 00:00:00+00,130,
131,2020/07/10 00:00:00+00,72347,33529,3469,35349,1611,878,52,681,46.3446998493372,4.79494657691404,48.8603535737487,1015678,597468,525121,23609,9388,13882,38705,,,,,,,,,,,,1970/01/01 00:00:00+00,131,
132,2020/07/11 00:00:00+00,74018,34719,3535,35764,1671,1190,66,415,46.9061579615769,4.77586533005485,48.3179767083682,1038988,610093,536075,23310,12625,13752,34887,,,,,,,,,,,,1970/01/01 00:00:00+00,132,
133,2020/07/12 00:00:00+00,75699,35638,3606,36455,1681,919,71,691,47.0785611434761,4.76360321800816,48.1578356385157,1061367,621087,545388,22379,10994,14515,34486,,,,,,,,,,,,1970/01/01 00:00:00+00,133,
134,2020/07/13 00:00:00+00,76981,36689,3656,36636,1282,1051,50,181,47.6598121614424,4.74922383445266,47.5909640041049,1074467,630149,553168,13100,9062,13439,33504,,,,,,,,,,,,1970/01/01 00:00:00+00,134,
135,2020/07/14 00:00:00+00,78572,37636,3710,37226,1591,947,54,590,47.9000152726162,4.72178384157206,47.3782008858117,1097468,642164,563592,23001,12015,,,,,,,,,,,,,,1970/01/01 00:00:00+00,135,
136,2020/07/15 00:00:00+00,80094,39050,3797,37247,1522,1414,87,21,48.7552126251654,4.74067970135091,46.5041076734837,1122339,657655,577561,24871,15491,,,,,,,,,,,,,,1970/01/01 00:00:00+00,136,
137,2020/07/16 00:00:00+00,81668,40345,3873,37450,1574,1295,76,203,49.401234265563,4.7423715531175,45.8563941813195,1146794,669811,588143,23947,12156,,,,,,,,,,,,,,1970/01/01 00:00:00+00,137,
138,2020/07/17 00:00:00+00,83130,41834,3957,37339,1462,1489,84,-111,50.3235895585228,4.76001443522194,44.9163960062553,1175462,683805,600675,29176,13994,,,,,,,,,,,,,,1970/01/01 00:00:00+00,138,
139,2020/07/18 00:00:00+00,84882,43268,4016,37598,1752,1434,59,259,50.974293725407,4.73127400391131,44.2944322706816,1201014,697043,612161,25552,13238,,,,,,,,,,,,,,1970/01/01 00:00:00+00,139,
140,2020/07/19 00:00:00+00,86521,45401,4143,36977,1639,2133,127,-621,52.4739658579998,4.78843286600941,42.7376012759908,1221518,707238,620717,20504,10195,,,,,,,,,,,,,,1970/01/01 00:00:00+00,140,
141,2020/07/20 00:00:00+00,88214,46977,4239,36998,1693,1576,96,21,53.2534518330424,4.80535969347269,41.9411884734849,1235545,720497,632283,14027,13259,,,,,,,,,,,,,,1970/01/01 00:00:00+00,141,
142,2020/07/21 00:00:00+00,89869,48466,4320,37083,1655,1489,81,85,53.9296086525943,4.80699685097197,41.2633944964337,1257807,737844,647975,22262,17347,,,,,,,,,,,,,,1970/01/01 00:00:00+00,142,
143,2020/07/22 00:00:00+00,91751,50255,4459,37037,1882,1789,139,-46,54.7732449782564,4.85989253523122,40.3668624865124,1283109,749626,657875,25302,11782,,,,,,,,,,,,,,1970/01/01 00:00:00+00,143,
144,2020/07/23 00:00:00+00,93657,52164,4576,36917,1906,1909,117,-120,55.6968512764663,4.88591349285158,39.4172352306822,1310924,762957,669300,27815,13331,,,,,,,,,,,,,,1970/01/01 00:00:00+00,144,
145,2020/07/24 00:00:00+00,95418,53945,4665,36808,1761,1781,89,-109,56.5354545263996,4.88901465132365,38.5755308222767,1335889,777100,681682,24965,14143,,,,,,,,,,,,,,1970/01/01 00:00:00+00,145,
146,2020/07/25 00:00:00+00,97286,55354,4714,37218,1868,1409,49,410,56.89821762638,4.84550706165327,38.2562753119668,1361207,789258,691972,25318,12158,,,,,,,,,,,,,,1970/01/01 00:00:00+00,146,
147,2020/07/26 00:00:00+00,98778,56655,4781,37342,1492,1301,67,124,57.3558889631294,4.84014659134625,37.8039644455243,1381699,796950,698172,20492,7692,,,,,,,,,,,,,,1970/01/01 00:00:00+00,147,
148,2020/07/27 00:00:00+00,100303,58173,4838,37292,1525,1518,57,-50,57.9972682771203,4.82338514301666,37.179346579863,1394759,807946,707643,13060,10996,,,,,,,,,,,,,,1970/01/01 00:00:00+00,148,
149,2020/07/28 00:00:00+00,102051,60539,4901,36611,1748,2366,63,-681,59.3222996344965,4.8025007104291,35.8751996550744,1417322,823168,721117,22563,15222,,,,,,,,,,,,,,1970/01/01 00:00:00+00,149,
150,2020/07/29 00:00:00+00,104432,62138,4975,37319,2381,1599,74,708,59.5009192584648,4.76386548184465,35.7352152596905,1447583,841027,736595,30261,17859,,,,,,,,,,,,,,1970/01/01 00:00:00+00,150,
151,2020/07/30 00:00:00+00,106336,64292,5058,36986,1904,2154,83,-333,60.4611796569365,4.75662052362323,34.7821998194403,1477629,856003,749667,30046,14976,,,,,,,,,,,,,,1970/01/01 00:00:00+00,151,
152,2020/07/31 00:00:00+00,108376,65907,5131,37338,2040,1615,73,352,60.8132796929209,4.7344430501218,34.4522772569573,1506191,866539,758163,28562,10536,,,,,,,,,,,,,,1970/01/01 00:00:00+00,152,
1,2020/08/01 00:00:00+00,109936,67919,5193,36824,1560,2012,62,-514,61780,4724,33496,1517381,875894,765958,11190,9355,,,,,,,,,,,,,,1970/01/01 00:00:00+00,153,
2,2020/08/02 00:00:00+00,111455,68975,5236,37244,1519,1056,43,420,61886,4698,33416,1537413,882352,770897,20032,6458,,,,,,,,,,,,,,1970/01/01 00:00:00+00,154,
3,2020/08/03 00:00:00+00,113134,70237,5302,37595,1679,1262,66,351,62083,4686,33231,1552141,894531,781395,14728,12179,,,,,,,,,,,,,,1970/01/01 00:00:00+00,155,
4,2020/08/04 00:00:00+00,115056,72050,5388,37618,1922,1813,86,23,62622,4683,32695,1575043,907987,793110,22902,13456,,,,,,,,,,,,,,1970/01/01 00:00:00+00,156,
5,2020/08/05 00:00:00+00,116871,73889,5452,37530,1815,1839,64,-88,63222,4664,32112,1603781,922709,806017,28738,14722,,,,,,,,,,,,,,1970/01/01 00:00:00+00,157,
6,2020/08/06 00:00:00+00,118753,75645,5521,37587,1882,1756,69,57,63699,4649,31651,1633156,936132,817558,29375,13423,,,,,,,,,,,,,,1970/01/01 00:00:00+00,158,
7,2020/08/07 00:00:00+00,121226,77557,5593,38076,2473,1912,72,489,63977,4614,31409,1663315,951910,830684,30159,15599,,,,,,,,,,,,,,1970/01/01 00:00:00+00,159,
8,2020/08/08 00:00:00+00,123503,79306,5658,38539,2277,1749,65,463,64214,4581,31205,1693880,963602,840099,30565,11692,,,,,,,,,,,,,,1970/01/01 00:00:00+00,160,
9,2020/08/09 00:00:00+00,125396,80952,5723,38721,1893,1646,65,182,64557,4564,30879,1715798,972594,847198,21918,8992,,,,,,,,,,,,,,1970/01/01 00:00:00+00,161,
10,2020/08/10 00:00:00+00,127083,82236,5765,39082,1687,1284,42,361,64710,4536,30753,1731634,984893,857810,15836,12299,,,,,,,,,,,,,,1970/01/01 00:00:00+00,162,
11,2020/08/11 00:00:00+00,128776,83710,5824,39242,1693,1474,59,160,65004,4523,30473,1757425,998406,869630,25791,13513,,,,,,,,,,,,,,1970/01/01 00:00:00+00,163,
12,2020/08/12 00:00:00+00,130718,85798,5903,39017,1942,2088,79,-225,65636,4516,29848,1783673,1012104,881386,26248,13698,,,,,,,,,,,,,,1970/01/01 00:00:00+00,164,
13,2020/08/13 00:00:00+00,132816,87558,5968,39290,2098,1760,65,273,65924,4493,29582,1809487,1026954,894138,25814,14850,,,,,,,,,,,,,,1970/01/01 00:00:00+00,165,
14,2020/08/14 00:00:00+00,135123,89618,6021,39484,2307,2060,53,194,66323,4456,29221,1835505,1039682,904559,26018,12728,,,,,,,,,,,,,,1970/01/01 00:00:00+00,166,
15,2020/08/15 00:00:00+00,137468,91321,6071,40076,2345,1703,50,592,66431,4416,29153,1862801,1052503,915035,27296,12821,,,,,,,,,,,,,,1970/01/01 00:00:00+00,167,
16,2020/08/16 00:00:00+00,139549,93103,6150,40296,2081,1782,79,220,66717,4407,28876,1888215,1061721,922172,25414,9218,,,,,,,,,,,,,,1970/01/01 00:00:00+00,168,
17,2020/08/17 00:00:00+00,141370,94458,6207,40705,1821,1355,57,409,66816,4391,28793,1900668,1068945,927575,12453,7224,,,,,,,,,,,,,,1970/01/01 00:00:00+00,169,
18,2020/08/18 00:00:00+00,143043,96306,6277,40460,1673,1848,70,-245,67327,4388,28285,1915039,1081354,938311,14371,12409,,,,,,,,,,,,,,1970/01/01 00:00:00+00,170,
19,2020/08/19 00:00:00+00,144945,98657,6346,39942,1902,2351,69,-518,68065,4378,27557,1941117,1096294,951349,26078,14940,,,,,,,,,,,,,,1970/01/01 00:00:00+00,171,
20,2020/08/20 00:00:00+00,147211,100674,6418,40119,2266,2017,72,177,68388,4360,27253,1969941,1108068,960857,28824,11774,,,,,,,,,,,,,,1970/01/01 00:00:00+00,172,
21,2020/08/21 00:00:00+00,149408,102991,6500,39917,2197,2317,82,-202,68933,4351,26717,1989870,1121602,972194,19929,13534,,,,,,,,,,,,,,1970/01/01 00:00:00+00,173,
22,2020/08/22 00:00:00+00,151498,105198,6594,39706,2090,2207,94,-211,69439,4353,26209,2014619,1139768,988270,24749,18166,,,,,,,,,,,,,,1970/01/01 00:00:00+00,174,
23,2020/08/23 00:00:00+00,153535,107500,6680,39355,2037,2302,86,-351,70017,4351,25633,2036771,1157184,1003649,22152,17416,,,,,,,,,,,,,,1970/01/01 00:00:00+00,175,
24,2020/08/24 00:00:00+00,155412,111060,6759,37593,1877,3560,79,-1762,71462,4349,24189,2056166,1173369,1017957,19395,16185,,,,,,,,,,,,,,1970/01/01 00:00:00+00,176,
25,2020/08/25 00:00:00+00,157859,112867,6858,38134,2447,1807,99,541,71499,4344,24157,2077441,1191948,1034089,21275,18579,,,,,,,,,,,,,,1970/01/01 00:00:00+00,177,
26,2020/08/26 00:00:00+00,160165,115409,6944,37812,2306,2542,86,-322,72056,4336,23608,2106753,1212468,1052303,29312,20520,,,,,,,,,,,,,,1970/01/01 00:00:00+00,178,
27,2020/08/27 00:00:00+00,162884,118575,7064,37245,2719,3166,120,-567,72797,4337,22866,2136416,1233486,1070602,29663,21018,,,,,,,,,,,,,,1970/01/01 00:00:00+00,179,
28,2020/08/28 00:00:00+00,165887,120900,7169,37818,3003,2325,105,573,72881,4322,22797,2169498,1250135,1084248,33082,16649,,,,,,,,,,,,,,1970/01/01 00:00:00+00,180,
29,2020/08/29 00:00:00+00,169195,122802,7261,39132,3308,1902,92,1314,72580,4291,23128,2198403,1271301,1102106,28905,21166,,,,,,,,,,,,,,1970/01/01 00:00:00+00,181,
30,2020/08/30 00:00:00+00,172053,124185,7343,40525,2858,1383,82,1393,72178,4268,23554,2224337,1282618,1110565,25934,11317,,,,,,,,,,,,,,1970/01/01 00:00:00+00,182,
31,2020/08/31 00:00:00+00,174796,125959,7417,41420,2743,1774,74,895,72061,4243,23696,2239642,1297184,1122388,15305,14566,,,,,,,,,,,,,,1970/01/01 00:00:00+00,183,
32,2020/09/01 00:00:00+00,177571,128057,7505,42009,2775,2098,88,589,72116,4226,23658,2270267,1312477,1134906,30625,15293,,,,,,,,,,,,,,1970/01/01 00:00:00+00,184,
33,2020/09/02 00:00:00+00,180646,129971,7616,43059,3075,1914,111,1050,71948,4216,23836,2301268,1333985,1153339,31001,21508,,,,,,,,,,,,,,1970/01/01 00:00:00+00,185,
34,2020/09/03 00:00:00+00,184268,132055,7750,44463,3622,2084,134,1404,71665,4206,24130,2338865,1353291,1169023,37597,19306,,,,,,,,,,,,,,1970/01/01 00:00:00+00,186,
35,2020/09/04 00:00:00+00,187537,134181,7832,45524,3269,2126,82,1061,71549,4176,24275,2375133,1371391,1183854,36268,18100,,,,,,,,,,,,,,1970/01/01 00:00:00+00,187,
36,2020/09/05 00:00:00+00,190665,136401,7940,46324,3128,2220,108,800,71540,4164,24296,2405773,1388288,1197623,30640,16897,,,,,,,,,,,,,,1970/01/01 00:00:00+00,188,
37,2020/09/06 00:00:00+00,194109,138575,8025,47509,3444,2174,85,1185,71390,4134,24475,2433752,1401513,1207404,27979,13225,,,,,,,,,,,,,,1970/01/01 00:00:00+00,189,
38,2020/09/07 00:00:00+00,196989,140652,8130,48207,2880,2077,105,698,71401,4127,24472,2452164,1417694,1220705,18412,16181,,,,,,,,,,,,,,1970/01/01 00:00:00+00,190,
39,2020/09/08 00:00:00+00,200035,142958,8230,48847,3046,2306,100,640,71466,4114,24419,2484807,1434294,1234259,32643,16600,,,,,,,,,,,,,,1970/01/01 00:00:00+00,191,
40,2020/09/09 00:00:00+00,203342,145200,8336,49806,3307,2242,106,959,71407,4099,24494,2514670,1449629,1246287,29863,15335,,,,,,,,,,,,,,1970/01/01 00:00:00+00,192,
41,2020/09/10 00:00:00+00,207203,147510,8456,51237,3861,2310,120,1431,71191,4081,24728,2549579,1469943,1262740,34909,20314,,,,,,,,,,,,,,1970/01/01 00:00:00+00,193,
42,2020/09/11 00:00:00+00,210940,150217,8544,52179,3737,2707,88,942,71213,4050,24736,2581433,1498292,1287352,31813,28349,,,,,,,,,,,,,,1970/01/01 00:00:00+00,194,
43,2020/09/12 00:00:00+00,214746,152458,8650,53638,3806,2241,106,1459,70995,4028,24977,2620004,1523214,1308468,38571,24922,,,,,,,,,,,,,,1970/01/01 00:00:00+00,195,
44,2020/09/13 00:00:00+00,218382,155010,8723,54649,3636,2552,73,1011,70981,3994,25024,2650104,1549352,1330970,30100,26138,,,,,,,,,,,,,,1970/01/01 00:00:00+00,196,
45,2020/09/14 00:00:00+00,221523,158405,8841,54277,3141,3395,118,-372,71507,3991,24502,2672710,1569545,1348022,22606,20193,,,,,,,,,,,,,,1970/01/01 00:00:00+00,197,
46,2020/09/15 00:00:00+00,225030,161065,8965,55000,3507,2660,124,723,71575,3984,24441,2715346,1592056,1367026,42636,22511,,,,,,,,,,,,,,1970/01/01 00:00:00+00,198,
47,2020/09/16 00:00:00+00,228993,164101,9100,55792,3963,3036,135,792,71662,3974,24364,2755120,1622769,1393776,39774,30713,,,,,,,,,,,,,,1970/01/01 00:00:00+00,199,
48,2020/09/17 00:00:00+00,232628,166686,9222,56720,3635,2585,122,928,71653,3964,24382,2796924,1652324,1419696,41804,29555,,,,,,,,,,,,,,1970/01/01 00:00:00+00,200,
49,2020/09/18 00:00:00+00,236519,170774,9336,56409,3891,4088,114,-311,72203,3947,23850,2841352,1676648,1440129,44428,24324,,,,,,,,,,,,,,1970/01/01 00:00:00+00,201,
50,2020/09/19 00:00:00+00,240687,174350,9448,56889,4168,3576,112,480,72438,3925,23636,2885508,1698202,1457515,44156,21554,,,,,,,,,,,,,,1970/01/01 00:00:00+00,202,
51,2020/09/20 00:00:00+00,244676,177327,9553,57796,3989,2977,105,907,72474,3904,23621,2922648,1718175,1473499,36753,19973,,,,,,,,,,,,,,1970/01/01 00:00:00+00,203,
52,2020/09/21 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,204,
53,2020/09/22 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,205,
54,2020/09/23 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,206,
55,2020/09/24 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,207,
56,2020/09/25 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,208,
57,2020/09/26 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,209,
58,2020/09/27 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,210,
59,2020/09/28 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,211,
60,2020/09/29 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,212,
61,2020/09/30 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,213,
62,2020/05/02 00:00:00+00,10843,1665,831,8347,292,74,31,187,15.3555289126625,7.66393064650005,76.9805404408374,,79868,69025,,333,,,,,,,,,,,,,,1970/01/01 00:00:00+00,214,
63,2020/05/03 00:00:00+00,11192,1876,845,8471,349,211,14,124,16.7619728377412,7.55003573981415,75.6879914224446,,83012,71820,,3144,,,,,,,,,,,,,,1970/01/01 00:00:00+00,215,
64,2020/05/04 00:00:00+00,11587,1954,864,8769,395,78,19,298,16.8637265901441,7.45663243289894,75.6796409769569,,86061,74474,,3049,,,,,,,,,,,,,,1970/01/01 00:00:00+00,216,
65,2020/05/05 00:00:00+00,12071,2197,872,9002,484,243,8,233,18.2006461767873,7.22392510976721,74.5754287134454,,88924,76853,,2863,,,,,,,,,,,,,,1970/01/01 00:00:00+00,217,
66,2020/05/06 00:00:00+00,12438,2317,895,9226,367,120,23,224,18.6283968483679,7.19569062550249,74.1759125261296,,92976,80538,,4052,,,,,,,,,,,,,,1970/01/01 00:00:00+00,218,
67,2020/05/07 00:00:00+00,12776,2381,930,9465,338,64,35,239,18.6365059486537,7.27927363807138,74.0842204132749,,96717,83941,,3741,,,,,,,,,,,,,,1970/01/01 00:00:00+00,219,
68,2020/05/08 00:00:00+00,13112,2494,943,9675,336,113,13,210,19.0207443563148,7.19188529591214,73.787370347773,,103361,90249,,6644,,,,,,,,,,,,,,1970/01/01 00:00:00+00,220,
69,2020/05/09 00:00:00+00,13645,2607,959,10079,533,113,16,404,19.105899596922,7.02821546353976,73.8658849395383,,108699,95054,,5338,,,,,,,,,,,,,,1970/01/01 00:00:00+00,221,
70,2020/05/10 00:00:00+00,14032,2698,973,10361,387,91,14,282,19.22748004561,6.93415051311288,73.8383694412771,,113452,99420,,4753,,,,,,,,,,,,,,1970/01/01 00:00:00+00,222,
71,2020/05/11 00:00:00+00,14265,2881,991,10393,233,183,18,32,20.1962846126884,6.94707325622152,72.8566421310901,,116358,102093,,2906,,,,,,,,,,,,,,1970/01/01 00:00:00+00,223,
72,2020/05/12 00:00:00+00,14749,3063,1007,10679,484,182,16,286,20.767509661672,6.82758153095125,72.4049088073768,,119728,104979,,337,,,,,,,,,,,,,,1970/01/01 00:00:00+00,224,
73,2020/05/13 00:00:00+00,15438,3287,1028,11123,689,224,21,444,21.2916180852442,6.65889363907242,72.0494882756834,,123572,108134,,3844,,,,,,,,,,,,,,1970/01/01 00:00:00+00,225,
74,2020/05/14 00:00:00+00,16006,3518,1043,11445,568,231,15,322,21.9792577783331,6.51630638510559,71.5044358365613,,127813,111807,,4241,,,,,,,,,,,,,,1970/01/01 00:00:00+00,226,
75,2020/05/15 00:00:00+00,16496,3803,1076,11617,490,285,33,172,23.05407371484,6.52279340446169,70.4231328806983,,132060,115564,,4247,,,,,,,,,,,,,,1970/01/01 00:00:00+00,227,
76,2020/05/16 00:00:00+00,17025,3911,1089,12025,529,108,13,408,22.9720998531571,6.39647577092511,70.6314243759178,,135726,118701,,3665,,,,,,,,,,,,,,1970/01/01 00:00:00+00,228,
77,2020/05/17 00:00:00+00,17514,4129,1148,12237,489,218,59,212,23.5754253739865,6.55475619504396,69.8698184309695,,140473,122959,,4748,,,,,,,,,,,,,,1970/01/01 00:00:00+00,229,
78,2020/05/18 00:00:00+00,18010,4324,1191,12495,496,195,43,258,24.0088839533592,6.6129927817879,69.3781232648529,,143035,125025,,2562,,,,,,,,,,,,,,1970/01/01 00:00:00+00,230,
79,2020/05/19 00:00:00+00,18496,4467,1221,12808,486,143,30,313,24.1511678200692,6.60142733564014,69.2474048442907,,147799,129303,,4764,,,,,,,,,,,,,,1970/01/01 00:00:00+00,231,
80,2020/05/20 00:00:00+00,19189,4575,1242,13372,693,108,21,564,23.8417843556204,6.47245817916515,69.6857574652145,,154139,134950,,634,,,,,,,,,,,,,,1970/01/01 00:00:00+00,232,
81,2020/05/21 00:00:00+00,20162,4838,1278,14046,973,263,36,674,23.9956353536356,6.33865687927785,69.6657077670866,,160374,140212,,6235,,,,,,,,,,,,,,1970/01/01 00:00:00+00,233,
82,2020/05/22 00:00:00+00,20796,5057,1326,14413,634,219,48,367,24.3171763800731,6.37622619734564,69.3065974225813,,21743,148173,,8595,,,,,,,,,,,,,,1970/01/01 00:00:00+00,234,
83,2020/05/23 00:00:00+00,21745,5249,1351,15145,949,192,25,732,24.1388825017245,6.21292251092205,69.6481949873534,,176035,154290,,7066,,,,,,,,,,,,,,1970/01/01 00:00:00+00,235,
84,2020/05/24 00:00:00+00,22271,5402,1372,15497,526,153,21,352,24.2557586098514,6.16047775133582,69.5837636388128,,179964,157593,,3829,,,,,,,,,,,,,,1970/01/01 00:00:00+00,236,
85,2020/05/25 00:00:00+00,22750,5642,1391,15717,479,240,19,220,24.8,6.11428571428571,69.0857142857143,,183192,160442,,3328,,,,,,,,,,,,,,1970/01/01 00:00:00+00,237,
86,2020/05/26 00:00:00+00,23165,5877,1418,15870,415,235,27,153,25.3701705158644,6.12130369091302,68.5085257932225,,188302,165137,,511,,,,,,,,,,,,,,1970/01/01 00:00:00+00,238,
87,2020/05/27 00:00:00+00,23851,6057,1473,16321,686,180,55,451,25.3951616284433,6.17584168378684,68.4289966877699,,195518,171667,,7216,,,,,,,,,,,,,,1970/01/01 00:00:00+00,239,
88,2020/05/28 00:00:00+00,24538,6240,1496,16802,687,183,23,481,25.4299453908224,6.09666639497922,68.4733882141984,,201311,176773,,5793,,,,,,,,,,,,,,1970/01/01 00:00:00+00,240,
89,2020/05/29 00:00:00+00,25216,6492,1520,17204,678,252,24,402,25.7455583756345,6.02791878172589,68.2265228426396,,205165,179949,,3854,,,,,,,,,,,,,,1970/01/01 00:00:00+00,241,
90,2020/05/30 00:00:00+00,25773,7015,1573,17185,557,523,53,-19,27.2184068598921,6.10328638497653,66.6783067551313,,216769,190996,,11604,,,,,,,,,,,,,,1970/01/01 00:00:00+00,242,
91,2020/05/31 00:00:00+00,26473,7308,1613,17552,700,293,40,367,27.605484833604,6.0930004155177,66.3015147508783,,223624,197151,,6855,,,,,,,,,,,,,,1970/01/01 00:00:00+00,243,
92,2020/06/01 00:00:00+00,26940,7637,1641,17662,467,329,28,110,28.3481811432814,6.0913140311804,65.5605048255382,,232113,205173,,8489,,,,,,,,,,,,,,1970/01/01 00:00:00+00,244,
93,2020/06/02 00:00:00+00,27549,7935,1663,17951,609,298,22,289,28.8032233474899,6.03651675196922,65.1602599005409,,237947,210398,,5834,,,,,,,,,,,,,,1970/01/01 00:00:00+00,245,
94,2020/06/03 00:00:00+00,28233,8406,1698,18129,684,471,35,178,29.7736691106152,6.01423865689087,64.2120922324939,,246433,218200,,8486,,,,,,,,,,,,,,1970/01/01 00:00:00+00,246,
95,2020/06/04 00:00:00+00,28818,8892,1721,18205,585,486,23,76,30.8557151780137,5.97196196821431,63.1723228537719,,251736,222918,,5303,,,,,,,,,,,,,,1970/01/01 00:00:00+00,247,
